date,upstream_nom,upstream_metric,upstream_value,mapped_entity_id,mapped_field,upstream_file,upstream_commit,snapshot_date,sitrep_id,import_status,notes
2026-05-17,DRC,national_cumulative_suspected_cases,246,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-18,DRC,national_cumulative_suspected_cases,516,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-19,DRC,national_cumulative_suspected_cases,575,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-20,DRC,national_cumulative_suspected_cases,671,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-21,DRC,national_cumulative_suspected_cases,746,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-22,DRC,national_cumulative_suspected_cases,867,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-23,DRC,national_cumulative_suspected_cases,904,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-24,DRC,national_cumulative_suspected_cases,906,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-25,DRC,national_cumulative_suspected_cases,998,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
2026-05-26,DRC,national_cumulative_suspected_cases,1077,drc_total,suspected_cases,data/insp_sitrep/processed/insp_sitrep__national_cumulative_suspected_cases__daily.csv,65b3363,2026-06-18,,staged,build_manifest_commit=5a37aa7; built_at=2026-06-16T22:36:29+00:00; value_not_validated_for_counts
